conm,cusip,cusip9digit,gvkey,id1,loc,ticker
1847 GOEDEKER INC -REDH,38399M93,38399M936,36399,8,USA,GOED
1-800-ATTORNEY INC,68231A20,68231A204,62884,6,USA,ATTY
1MAGE SOFTWARE INC,45244M10,45244M102,5962,11,USA,ISOL
1ST CAPITAL BANK,31944C10,31944C107,177646,15,USA,FISB
1ST BANCORP IND,31867L10,31867L100,18284,13,USA,FBCV.1
1ST INDEPENDENCE FINL GROUP,32053S10,32053S107,61390,20,USA,FIFG.1
2 I INC,90206510,902065101,27778,29,USA,TWOI
1ST UTD BANCORP,33740710,337407100,25769,27,USA,FUBC.
1ST UNITED BANCORP INC,33740N10,33740N105,179586,26,USA,FUBC
2002 TARGET TERM TR INC,90210610,902106103,26041,30,USA,TTR.1
1ST WASHINGTON BANCORP INC,33690910,336909106,17147,28,USA,WFSB
202 DATA SYSTEMS INC,90206410,902064104,10785,31,USA,3TOOT.
1ST PRESTIGE WEALTH MGMT INC,33612Y10,33612Y106,65525,23,USA,FPWM
21ST CENTURY FILM CORP,90131B10,90131B108,16157,34,USA,TFFC
1ST ENTERPRISE BANK,32008C10,32008C108,175290,19,USA,3FENB
360NETWORKS INC,88575T20,88575T205,134453,45,USA,3TSIXQ.1
2ND SWING INC-REDH,90211X10,90211X103,110061,40,USA,SSG.3
3D LABS INC LTD,G8846W10,G8846W103,64005,50,USA,TDDD
3DICON CORP -OLD,88599O93,88599O935,152888,54,USA,TDCP.1
3 BEALLS HOLDING CORP,88553100,885531004,15034,42,USA,5983A
21ST CENTURY ONCOLOGY HLDGS,90131G10,90131G107,265008,36,USA,ICC
21ST CENTURY INS GROUP,90130N10,90130N103,14830,35,USA,TW.1
4D MOLECULAR THER INC -REDH,35099P93,35099P938,35729,63,USA,DDDD
800.COM INC,28248P10,28248P107,134584,76,USA,EHDC
800 AMERICA.COM INC,28248N10,28248N102,125859,73,USA,3ACCO
A & W BRANDS INC,00020910,000209106,13592,84,USA,SODA.1
A CLEAN SLATE INC,00089L10,00089L107,186661,86,USA,DRWN
A CLEAN SLATE INC -OLD,00099X91,00099X919,63912,87,USA,DRWN.1
A D A M INC,00088U10,00088U108,61523,88,USA,ADAM.1
A S V INC,00196310,001963107,30584,94,USA,ASVI
A PLUS NETWORK INC,00203310,002033108,28782,93,USA,ACOM.
A NOVO BROADBAND INC,00182P10,00182P104,61545,91,USA,ANVB
A PEA IN THE POD INC,00193610,001936103,28898,92,USA,APOD
A L D INC,00160410,001604107,1033,90,USA,3ALDK
